,Feature,Value
2335,Phagophore assembly site,0.0
2336,Phagophore assembly site membrane,0.0
2337,"phenylacetyl-CoA 1,2-epoxidase complex",0.0
2236,organelle-enclosing lipid monolayer,0.0
2235,Organelle subcompartment,0.0
2234,Organelle outer membrane,0.0
2338,phenylalanine-tRNA ligase complex,0.0
2243,Other organism part,0.0
1885,Migrasome,0.0
1886,MIH complex,0.0
1887,MIM complex,0.0
1888,Minor mitochondrial derivative,0.0
1889,minus-end kinesin complex,0.0
1890,MIS12/MIND type complex,0.0
1891,Mis6-Sim4 complex,0.0
1892,Mismatch repair complex,0.0
1893,mitochondria-associated endoplasmic reticulum membrane,0.0
1894,Mitochondrial alpha-ketoglutarate dehydrogenase complex,0.0
2414,Plasma membrane region,0.0
1896,Mitochondrial chromosome,0.0
1897,Mitochondrial cloud,0.0
1898,Mitochondrial creatine kinase complex,0.0
1899,Mitochondrial crista,0.0
1900,Mitochondrial crista junction,0.0
1901,Mitochondrial degradosome,0.0
1902,Mitochondrial derivative,0.0
1903,Mitochondrial DNA-directed RNA polymerase complex,0.0
1904,Mitochondrial electron transfer flavoprotein complex,0.0
1905,Mitochondrial endopeptidase Clp complex,0.0
1895,Mitochondrial ATP-gated potassium channel complex,0.0
1857,Microbody lumen,0.0
1858,Microbody membrane,0.0
1859,Microfibril,0.0
1860,Microneme,0.0
1861,Microneme lumen,0.0
1862,Microneme membrane,0.0
1864,micropexophagy-specific membrane apparatus,0.0
1865,Micropinosome,0.0
1867,Micropyle,0.0
1868,Microspike,0.0
1884,Middle lamella,0.0
1872,Microtubule bundle,0.0
1873,Microtubule cytoskeleton,0.0
1874,Microtubule end,0.0
1875,Microtubule minus-end,0.0
1877,Microtubule organizing center attachment site,0.0
1878,Microtubule plus-end,0.0
1879,Microvesicle,0.0
1880,Microvillar actin bundle,0.0
1882,Microvillus membrane,0.0
1883,Midbody,0.0
1869,Microsporocyte nucleus,0.0
1936,Mitochondrial respirasome,0.0
1937,Mitochondrial respiratory chain complex I,0.0
1938,"Mitochondrial respiratory chain complex II, succinate dehydroge",0.0
1939,Mitochondrial respiratory chain complex III,0.0
1940,Mitochondrial respiratory chain complex IV,0.0
1941,Mitochondrial ribonuclease P complex,0.0
1943,Mitochondrial small ribosomal subunit,0.0
1944,Mitochondrial tricarboxylic acid cycle enzyme complex,0.0
1946,mitochondrion-associated adherens complex,0.0
1947,mitochondrion-derived vesicle,0.0
1906,Mitochondrial envelope,0.0
1949,Mitotic actomyosin contractile ring,0.0
1950,Mitotic checkpoint complex,0.0
1951,"Mitotic checkpoint complex, CDC20-MAD2 subcomplex",0.0
1953,Mitotic nuclear membrane microtubule tethering complex,0.0
1954,Mitotic septin complex,0.0
1955,Mitotic spindle,0.0
1957,Mitotic spindle astral microtubule,0.0
1958,Mitotic spindle astral microtubule end,0.0
1959,Mitotic spindle microtubule,0.0
1960,Mitotic spindle midzone,0.0
1948,Mitosome,0.0
1907,Mitochondrial fatty acid beta-oxidation multienzyme complex,0.0
1908,Mitochondrial inner boundary membrane,0.0
1910,Mitochondrial inner membrane assembly complex,0.0
1911,Mitochondrial inner membrane peptidase complex,0.0
1912,Mitochondrial inner-outer membrane contact site,0.0
1914,Mitochondrial intermembrane space protein transporter complex,0.0
1915,Mitochondrial intracristal space,0.0
1916,Mitochondrial iron-sulfur cluster assembly complex,0.0
1917,Mitochondrial isocitrate dehydrogenase complex (NAD+),0.0
1918,Mitochondrial large ribosomal subunit,0.0
1935,Mitochondrial pyruvate dehydrogenase complex,0.0
1921,Mitochondrial mRNA editing complex,0.0
1924,Mitochondrial outer membrane translocase complex,0.0
1925,Mitochondrial oxoglutarate dehydrogenase complex,0.0
1927,Mitochondrial processing peptidase complex,0.0
1928,Mitochondrial prohibitin complex,0.0
1929,Mitochondrial protein-containing complex,0.0
1930,Mitochondrial proton-transporting ATP synthase complex,0.0
1931,"Mitochondrial proton-transporting ATP synthase complex, catalyt",0.0
1932,"Mitochondrial proton-transporting ATP synthase complex, couplin",0.0
1933,"Mitochondrial proton-transporting ATP synthase, catalytic core",0.0
1934,"Mitochondrial proton-transporting ATP synthase, stator stalk",0.0
1919,Mitochondrial matrix,0.0
1776,Manchette,0.0
1777,Mannan polymerase complex,0.0
1778,Mannan polymerase I complex,0.0
1779,Mannan polymerase II complex,0.0
1780,Mannosome,0.0
1781,"mannosyl-oligosaccharide 1,2-alpha-mannosidase complex",0.0
1782,Mannosyltransferase complex,0.0
1783,Mast cell granule,0.0
1784,Mastigoneme,0.0
1785,Mating projection,0.0
1855,MICOS complex,0.0
1787,Mating projection tip,0.0
1788,mating-type region heterochromatin,0.0
1790,Matrix side of mitochondrial inner membrane,0.0
1791,Mature chylomicron,0.0
1792,mBAF complex,0.0
1795,MCM8-MCM9 complex,0.0
1796,mCRD-mediated mRNA stability complex,0.0
1797,Mcs4 RR-MAPKKK complex,0.0
1798,MECO complex,0.0
1799,Medial cortex,0.0
1786,Mating projection base,0.0
1750,LYSP100-associated nuclear domain,0.0
1751,Lytic vacuole,0.0
1752,Lytic vacuole membrane,0.0
1753,M band,0.0
1754,m-AAA complex,0.0
1755,MacAB-TolC complex,0.0
1756,Macrolide transmembrane transporter complex,0.0
1758,Macrophage migration inhibitory factor receptor complex,0.0
1759,Macropinocytic cup,0.0
1760,Macropinocytic cup membrane,0.0
1775,MAML1-RBP-Jkappa- ICN1 complex,0.0
1763,Magnesium chelatase complex,0.0
1764,magnesium-dependent protein serine/threonine phosphatase comple,0.0
1765,Magnetosome,0.0
1766,Magnetosome lumen,0.0
1767,Magnetosome membrane,0.0
1769,Major mitochondrial derivative,0.0
1770,Male germ cell nucleus,0.0
1771,Male germline ring canal,0.0
1772,Male pronucleus,0.0
1773,MalFGK2 complex,0.0
1774,Maltose transport complex,0.0
1761,Macropinosome,0.0
1830,Merozoite dense granule,0.0
1831,Mesaxon,0.0
1832,Mesosome,0.0
1834,Metallochaperone complex,0.0
1836,Methane monooxygenase complex,0.0
1837,methanol-CoM methyltransferase complex,0.0
1838,Methanophenazine reducing hydrogenase complex,0.0
1839,Methionine adenosyltransferase complex,0.0
1841,methionine-importing complex,0.0
1842,Methionyl glutamyl tRNA synthetase complex,0.0
1800,Medial cortical node,0.0
1844,Methyl coenzyme M reductase complex,0.0
1845,methyl-tetrahydromethanopterin:coenzyme M methyltransferase com,0.0
1846,methylcrotonoyl-CoA carboxylase complex,0.0
1847,Methylosome,0.0
1848,Methyltransferase complex,0.0
1849,MHC class I peptide loading complex,0.0
1850,MHC class I protein complex,0.0
1851,MHC class Ib protein complex,0.0
1852,MHC class II protein complex,0.0
1854,MIB complex,0.0
1843,Methyl accepting chemotaxis protein complex,0.0
1801,Medial layer of collagen and cuticulin-based cuticle extracellu,0.0
1802,Median body,0.0
1803,Mediator complex,0.0
1804,Megasome,0.0
1805,Megasporocyte nucleus,0.0
1806,Mei2 nuclear dot complex,0.0
1807,Meiotic actomyosin contractile ring,0.0
1808,Meiotic cohesin complex,0.0
1809,Meiotic nuclear membrane microtubule tethering complex,0.0
1810,Meiotic recombination initiation complex,0.0
1829,Meprin A complex,0.0
1812,Meiotic spindle,0.0
1813,Meiotic spindle midzone,0.0
1814,Meiotic spindle pole,0.0
1815,Meiotic spindle pole body,0.0
1816,Melanosome,0.0
1817,Melanosome lumen,0.0
1818,Melanosome membrane,0.0
1821,Membrane coat,0.0
1822,Membrane fusion priming complex,0.0
1823,Membrane microdomain,0.0
1826,Membrane stack,0.0
1811,Meiotic septin complex,0.0
2085,Neuronal dense core vesicle,0.0
2086,Neuronal dense core vesicle lumen,0.0
2087,Neuronal dense core vesicle membrane,0.0
2088,Neuronal ribonucleoprotein granule,0.0
2089,Neurosecretory vesicle,0.0
2091,Neutrophil extracellular trap,0.0
2092,New cell pole,0.0
2093,New growing cell tip,0.0
2094,New mitotic spindle pole body,0.0
2095,Nexine,0.0
1961,Mitotic spindle polar microtubule,0.0
2097,NF-kappaB p50/p65 complex,0.0
2098,Nicalin-NOMO complex,0.0
2099,Nitrate reductase complex,0.0
2100,nitric-oxide synthase complex,0.0
2101,Nitrogenase complex,0.0
2102,NLRP1 inflammasome complex,0.0
2104,NLS-dependent protein nuclear import complex,0.0
2105,NMDA selective glutamate receptor complex,0.0
2107,Noc complex,0.0
2108,Noc1p-Noc2p complex,0.0
2096,NF-kappaB complex,0.0
2060,NatC complex,0.0
2061,nBAF complex,0.0
2062,Nbp35-Cfd1 ATPase complex,0.0
2063,Ndc80 complex,0.0
2064,Nebenkern,0.0
2066,Nem1-Spo7 phosphatase complex,0.0
2067,Nematocyst,0.0
2068,Nematosome,0.0
2069,Nephrocyte diaphragm,0.0
2070,network-forming collagen trimer,0.0
2084,Neuronal cell body membrane,0.0
2072,Neurofilament,0.0
2073,Neurofilament cytoskeleton,0.0
2075,Neuromuscular junction of somatic muscle,0.0
2077,Neuron projection branch point,0.0
2078,Neuron projection cytoplasm,0.0
2079,Neuron projection membrane,0.0
2080,Neuron projection terminus,0.0
2081,Neuron spine,0.0
2082,Neuron to neuron synapse,0.0
2083,Neuronal cell body,0.0
2071,Neurofibrillary tangle,0.0
2141,Nuclear envelope lumen,0.0
2142,Nuclear exosome (RNase complex),0.0
2143,Nuclear exosome focus,0.0
2144,Nuclear exosome targeting complex,0.0
2145,Nuclear inclusion body,0.0
2149,Nuclear matrix,0.0
2150,Nuclear membrane,0.0
2151,Nuclear membrane microtubule tethering complex,0.0
2152,Nuclear membrane protein complex,0.0
2153,Nuclear microtubule,0.0
2109,Noc2p-Noc3p complex,0.0
2155,Nuclear origin of replication recognition complex,0.0
2156,Nuclear outer membrane,0.0
2157,Nuclear outer membrane-endoplasmic reticulum membrane network,0.0
2160,Nuclear pore central transport channel,0.0
2161,Nuclear pore cytoplasmic filaments,0.0
2162,Nuclear pore inner ring,0.0
2164,Nuclear pore nuclear basket,0.0
2166,Nuclear pore transmembrane ring,0.0
2167,Nuclear pre-replicative complex,0.0
2168,Nuclear proteasome complex,0.0
2154,Nuclear MIS12/MIND complex,0.0
2111,Nodal receptor complex,0.0
2112,Node of Ranvier,0.0
2113,non-growing cell tip,0.0
2115,non-motile cilium,0.0
2117,Noradrenergic synapse,0.0
2118,NoRC complex,0.0
2119,NOS2-CD74 complex,0.0
2120,NOXA-BCL-2 complex,0.0
2121,NOXA-BCL-xl complex,0.0
2122,npBAF complex,0.0
2140,Nuclear envelope adjacent to nuclear pore complex,0.0
2125,Nsk1-Dlc1 complex,0.0
2126,NSL complex,0.0
2127,NuA3 histone acetyltransferase complex,0.0
2128,NuA3b histone acetyltransferase complex,0.0
2130,Nuclear aryl hydrocarbon receptor complex,0.0
2132,Nuclear cap binding complex,0.0
2133,Nuclear chromosome,0.0
2134,Nuclear cohesin complex,0.0
2136,Nuclear dicing body,0.0
2137,Nuclear DNA replication factor C complex,0.0
2139,Nuclear envelope,0.0
2123,NPHP complex,0.0
1991,Mst2 histone acetyltransferase complex,0.0
1992,MTREC complex,0.0
1993,MUB1-RAD6-UBR2 ubiquitin ligase complex,0.0
1994,Mucin granule,0.0
1995,Mucocyst,0.0
1996,Mucus layer,0.0
1997,multi-eIF complex,0.0
1998,Multimeric ribonuclease P complex,0.0
1999,Multimerin complex,0.0
2000,Multiple synapse bouton,0.0
2058,NatA complex,0.0
2002,"Multiple synapse bouton, contacting single dendrite",0.0
2003,Multivesicular body,0.0
2004,Multivesicular body lumen,0.0
2005,Multivesicular body membrane,0.0
2006,"Multivesicular body, internal vesicle",0.0
2007,"Multivesicular body, internal vesicle lumen",0.0
2008,Muscle cell projection,0.0
2009,Muscle cell projection membrane,0.0
2010,Muscle myosin complex,0.0
2011,Muscle tendon junction,0.0
2001,"Multiple synapse bouton, contacting multiple dendrites",0.0
1962,Mitotic spindle pole,0.0
1963,Mitotic spindle pole body,0.0
1964,MKS complex,0.0
1966,MLL1/2 complex,0.0
1967,MLL3/4 complex,0.0
1968,MMXD complex,0.0
1969,Molybdopterin synthase complex,0.0
1970,Mon1-Ccz1 complex,0.0
1971,monolayer-surrounded lipid storage body,0.0
1972,Monomeric IgA immunoglobulin complex,0.0
1990,MSL complex,0.0
1974,Monopolin complex,0.0
1975,Mossy fiber rosette,0.0
1976,Motile cilium,0.0
1977,MOZ/MORF histone acetyltransferase complex,0.0
1980,MPP7-DLG1-LIN7 complex,0.0
1981,MPT synthase complex,0.0
1982,Mre11 complex,0.0
1983,mRNA cap binding complex,0.0
1986,mRNA cleavage factor complex,0.0
1988,mRNA editing complex,0.0
1989,MsbA transporter complex,0.0
1973,Mononeme,0.0
2036,Myosin IX complex,0.0
2037,Myosin phosphatase complex,0.0
2038,Myosin V complex,0.0
2039,Myosin VI complex,0.0
2040,Myosin VII complex,0.0
2041,Myosin VIII complex,0.0
2042,Myosin X complex,0.0
2043,Myosin XI complex,0.0
2044,Myosin XII complex,0.0
2045,Myosin XIII complex,0.0
2012,Muscle thin filament tropomyosin,0.0
2047,Myosin XV complex,0.0
2048,Myosin XVI complex,0.0
2049,Myosin XVII complex,0.0
2050,Myosin XVIII complex,0.0
2052,NAD(P)H dehydrogenase complex (plastoquinone),0.0
2053,NADH dehydrogenase complex,0.0
2054,NADPH oxidase complex,0.0
2055,NAGS/NAGK complex,0.0
2056,NarGHI complex,0.0
2057,Nascent polypeptide-associated complex,0.0
2046,Myosin XIV complex,0.0
2013,Mutator focus,0.0
2014,MutLalpha complex,0.0
2015,MutLbeta complex,0.0
2016,MutLgamma complex,0.0
2017,MutS complex,0.0
2018,MutSalpha complex,0.0
2019,MutSbeta complex,0.0
2020,MutSgamma complex,0.0
2021,MWP complex,0.0
2022,Myb complex,0.0
2035,Myosin IV complex,0.0
2024,Myelin sheath,0.0
2025,Myelin sheath abaxonal region,0.0
2026,Myelin sheath adaxonal region,0.0
2027,Myofibril,0.0
2028,Myofilament,0.0
2029,Myosin complex,0.0
2030,Myosin filament,0.0
2031,Myosin I complex,0.0
2032,Myosin II complex,0.0
2033,Myosin II filament,0.0
2034,Myosin III complex,0.0
2023,Mycolate outer membrane,0.0
3001,Subsynaptic reticulum,0.0
3003,Succinate dehydrogenase complex (ubiquinone),0.0
3004,succinate-CoA ligase complex,0.0
3005,succinate-CoA ligase complex (ADP-forming),0.0
3006,succinate-CoA ligase complex (GDP-forming),0.0
3007,sucrase-isomaltase complex,0.0
3008,Sulfite reductase complex (NADPH),0.0
3009,Sulfopyruvate decarboxylase complex,0.0
3010,Sulfurtransferase complex,0.0
3011,SUMO activating enzyme complex,0.0
2530,PR-DUB complex,0.0
3016,Superoxide dismutase complex,0.0
3017,Superoxide dismutase copper chaperone complex,0.0
3019,Supramolecular fiber,0.0
3020,Supramolecular polymer,0.0
3021,Supraspliceosomal complex,0.0
3022,Survivin complex,0.0
3023,Sweet taste receptor complex,0.0
3026,Swi5-Sfr1 complex,0.0
3027,Swi5-Swi2 complex,0.0
3028,Swr1 complex,0.0
3029,Symbiont cell surface,0.0
3014,Sumoylated E2 ligase complex,0.0
2976,Stereocilia coupling link,0.0
2977,Stereocilia tip link,0.0
2978,Stereocilia tip-link density,0.0
2980,Stereocilium base,0.0
2981,Stereocilium bundle,0.0
2982,Stereocilium coat,0.0
2983,Stereocilium membrane,0.0
2984,Stereocilium shaft,0.0
2985,Stereocilium tip,0.0
2986,Stigma papilla,0.0
2987,STING complex,0.0
3000,Subrhabdomeral cisterna,0.0
2989,Stress fiber,0.0
2990,Striated muscle dense body,0.0
2991,Striated muscle myosin thick filament,0.0
2992,Striated muscle thin filament,0.0
2993,Stromule,0.0
2994,sub-surface cisterna,0.0
2995,Subapical complex,0.0
2996,Subapical part of cell,0.0
2997,Subcortical maternal complex,0.0
2998,Subpellicular microtubule,0.0
2999,Subpellicular network,0.0
2988,Storage vacuole,0.0
3061,TACC/TOG complex,0.0
3062,TAM protein secretion complex,0.0
3063,TAP complex,0.0
3064,Tapasin-ERp57 complex,0.0
3065,Taste receptor complex,0.0
3066,TAT protein transport complex,0.0
3067,Taurine dioxygenase complex,0.0
3068,TCR signalosome,0.0
3069,Tea1 cell-end complex,0.0
3070,Tec1p-Ste12p-Dig1p complex,0.0
3030,Symbiosome,0.0
3072,Telodendria,0.0
3073,Telomerase catalytic core complex,0.0
3074,Telomerase holoenzyme complex,0.0
3076,telomere-telomerase complex,0.0
3077,Telopode,0.0
3079,Terminal bouton,0.0
3080,Terminal cisterna,0.0
3081,Terminal cisterna lumen,0.0
3082,Terminal loop,0.0
3083,Terminal web,0.0
3084,TERT-RMRP complex,0.0
3071,Tectum,0.0
3031,Symmetric synapse,0.0
3032,"symmetric, GABA-ergic, inhibitory synapse",0.0
3033,Symplast,0.0
3034,Synapse,0.0
3035,synapse-associated extracellular matrix,0.0
3036,Synapsis initiation complex,0.0
3039,Synaptic ribbon,0.0
3041,Synaptic vesicle lumen,0.0
3042,Synaptic vesicle membrane,0.0
3043,Synaptic vesicle protein transport vesicle,0.0
3044,"Synaptic vesicle, readily releasable pool",0.0
3059,T-tubule,0.0
3046,"Synaptic vesicle, resting pool",0.0
3047,Synaptobrevin 2-SNAP-25-syntaxin-1a complex,0.0
3048,Synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex,0.0
3049,Synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex,0.0
3050,Synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex,0.0
3051,Synaptonemal complex,0.0
3052,Synaptonemal structure,0.0
3053,syndecan-syntenin-ALIX complex,0.0
3054,syntaxin-6-syntaxin-16-Vti1a complex,0.0
3056,Syp1 complex,0.0
3058,T-bar,0.0
3045,"Synaptic vesicle, recycling pool",0.0
2887,Slx1-Slx4 complex,0.0
2895,Smc5-Smc6 complex,0.0
2896,SMN complex,0.0
2898,Smooth endoplasmic reticulum,0.0
2899,Smooth endoplasmic reticulum cisterna,0.0
2900,Smooth endoplasmic reticulum lumen,0.0
2901,Smooth endoplasmic reticulum membrane,0.0
2902,Smooth muscle contractile fiber,0.0
2903,Smooth muscle dense body,0.0
2904,Smooth septate junction,0.0
2975,Stereocilia ankle link complex,0.0
2906,SNARE complex,0.0
2908,Snt2C complex,0.0
2909,SOD1-Bcl-2 complex,0.0
2910,SOD1-calcineurin complex,0.0
2912,sodium:potassium-exchanging ATPase complex,0.0
2913,Somatic ring canal,0.0
2914,Somatic spine,0.0
2916,Sorting endosome,0.0
2917,SOSS complex,0.0
2918,Spanning component of membrane,0.0
2920,Specific granule,0.0
2905,Smp focus,0.0
2858,short-chain collagen trimer,0.0
2859,SHREC complex,0.0
2860,Shu complex,0.0
2861,Sid2-Mob1 complex,0.0
2863,Sieve area,0.0
2864,Sieve plate,0.0
2865,Signal peptidase complex,0.0
2867,Signal recognition particle receptor complex,0.0
2868,"Signal recognition particle, chloroplast targeting",0.0
2870,Silver ion transmembrane transporter complex,0.0
2871,Simple sieve plate,0.0
2886,Slit-Robo signaling complex,0.0
2873,Sin3-type complex,0.0
2876,Site of double-strand break,0.0
2877,Site of polarized growth,0.0
2878,skein-like inclusion,0.0
2879,Skeletal muscle myofibril,0.0
2880,Ski complex,0.0
2881,SL snRNP,0.0
2882,SLAC complex,0.0
2883,SLIK (SAGA-like) complex,0.0
2884,Slime layer,0.0
2885,Slit diaphragm,0.0
2872,Sin3 complex,0.0
2950,Spindle pole body,0.0
2951,Spindle pole centrosome,0.0
2952,Spine apparatus,0.0
2953,Spine apparatus membrane,0.0
2954,Spine mat,0.0
2955,Spine synapse,0.0
2956,Spitzenkorper,0.0
2960,Split septin rings,0.0
2961,Spongiome,0.0
2962,Spore inner membrane,0.0
2921,Specific granule lumen,0.0
2964,Sporoplasm,0.0
2965,Spot adherens junction,0.0
2966,SPOTS complex,0.0
2967,SREBP-SCAP complex,0.0
2968,SREBP-SCAP-Insig complex,0.0
2969,Ssh1 translocon complex,0.0
2970,SsuD-SsuE complex,0.0
2971,Starch grain,0.0
2972,Starch utilization system complex,0.0
2973,Static microtubule bundle,0.0
2974,Stereocilia ankle link,0.0
2963,Spore wall,0.0
2922,Specific granule membrane,0.0
2923,Spectrin,0.0
2924,spectrin-associated cytoskeleton,0.0
2925,Spectrosome,0.0
2926,Sperm annulus,0.0
2927,Sperm connecting piece,0.0
2928,Sperm cytoplasmic droplet,0.0
2929,Sperm end piece,0.0
2930,Sperm fibrous sheath,0.0
2931,Sperm flagellum,0.0
2932,Sperm glycocalyx,0.0
2949,Spindle pole,0.0
2934,Sperm head plasma membrane,0.0
2935,Sperm head-tail coupling apparatus,0.0
2936,Sperm individualization complex,0.0
2937,Sperm midpiece,0.0
2938,Sperm mitochondrial sheath,0.0
2939,Sperm plasma membrane,0.0
2940,Sperm principal piece,0.0
2941,Spermatoproteasome complex,0.0
2942,Sphere organelle,0.0
2943,Spherical high-density lipoprotein particle,0.0
2945,Spindle envelope,0.0
2933,Sperm head,0.0
3232,Uniplex complex,0.0
3233,Upper tip-link density,0.0
3234,Urease complex,0.0
3235,Uropod,0.0
3236,Uropod membrane,0.0
3237,USH2 complex,0.0
3238,UTP-C complex,0.0
3239,Vacuolar HOPS complex,0.0
3240,Vacuolar lumen,0.0
3273,voltage-gated calcium channel complex,0.0
3086,Tertiary granule lumen,0.0
3275,voltage-gated sodium channel complex,0.0
3276,W chromosome,0.0
3277,WASH complex,0.0
3279,WICH complex,0.0
2,"1,3-beta-D-glucan synthase complex",0.0
3281,Wnt-Frizzled-LRP5/6 complex,0.0
3282,Woronin body,0.0
3283,Xanthine dehydrogenase complex,0.0
3284,Xanthophore,0.0
3285,XPC complex,0.0
3286,XRCC2-RAD51D complex,0.0
3274,voltage-gated potassium channel complex,0.0
3198,U12-type prespliceosome,0.0
3201,U2-type catalytic step 1 spliceosome,0.0
3202,U2-type catalytic step 2 spliceosome,0.0
3203,U2-type post-mRNA release spliceosomal complex,0.0
3204,U2-type post-spliceosomal complex,0.0
3206,U2-type prespliceosome,0.0
3207,U2-type spliceosomal complex,0.0
3208,U2AF complex,0.0
3210,U4/U6 snRNP,0.0
3212,U4atac snRNP,0.0
3213,U4atac/U6atac snRNP,0.0
3231,Unconventional myosin complex,0.0
3215,U5 snRNP,0.0
3217,U6atac snRNP,0.0
3219,UBC13-MMS2 complex,0.0
3220,UBC13-UEV1A complex,0.0
3221,Ubiquinone biosynthesis complex,0.0
3225,Ubisch body,0.0
3226,Ubp3-Bre5 deubiquitination complex,0.0
3227,UBR1-RAD6 ubiquitin ligase complex,0.0
3228,UDP-N-acetylglucosamine transferase complex,0.0
3229,UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminepho,0.0
3230,UFD1-NPL4 complex,0.0
3214,U4atac/U6atac x U5 tri-snRNP complex,0.0
4,3-isopropylmalate dehydratase complex,0.0
17,9+2 motile cilium,0.0
18,9+2 non-motile cilium,0.0
20,A band,0.0
21,ABIN2-NFKB1-MAP3K8 complex,0.0
22,Accessory outer segment,0.0
23,Acetate CoA-transferase complex,0.0
24,Acetolactate synthase complex,0.0
25,acetyl-CoA carboxylase complex,0.0
26,acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase,0.0
3287,XY body,0.0
29,ACF complex,0.0
30,Acid phosphatase complex,0.0
31,Acidocalcisome,0.0
32,Acidocalcisome lumen,0.0
33,Acidocalcisome membrane,0.0
34,Acroblast,0.0
35,Acrosomal lumen,0.0
36,Acrosomal matrix,0.0
37,Acrosomal membrane,0.0
38,Acrosomal vesicle,0.0
39,Actin body,0.0
27,acetylcholine-gated channel complex,0.0
3288,Xylanosome,0.0
3289,Y-shaped link,0.0
3290,Yae1-Lto1 complex,0.0
3291,Yb body,0.0
3292,Ycf2/FtsHi complex,0.0
3293,yeast-form cell wall,0.0
3294,Yolk,0.0
3295,Yolk granule,0.0
3296,Yolk plasma,0.0
3297,Z chromosome,0.0
3298,Z disc,0.0
15,9+0 motile cilium,0.0
3300,Zeta DNA polymerase complex,0.0
3301,Zona pellucida receptor complex,0.0
3302,Zonula adherens,0.0
3303,Zymogen granule,0.0
5,3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,0.0
9,4-aminobutyrate transaminase complex,0.0
10,5-lipoxygenase complex,0.0
11,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",0.0
12,6-phosphofructokinase complex,0.0
13,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase complex",0.0
14,7SK snRNP,0.0
3299,Z granule,0.0
3114,TRAF2-GSTP1 complex,0.0
3115,TRAIL death-inducing signaling complex,0.0
3117,Trans spliceosomal complex,0.0
3118,trans-Golgi network,0.0
3119,trans-Golgi network membrane,0.0
3120,trans-Golgi network transport vesicle,0.0
3121,trans-Golgi network transport vesicle membrane,0.0
3122,trans-synaptic protein complex,0.0
3125,Transcription export complex 2,0.0
3127,Transcription ternary complex,0.0
3197,U12-type precatalytic spliceosome,0.0
3132,Transforming growth factor beta ligand-receptor complex,0.0
3134,Translation initiation ternary complex,0.0
3135,Translation preinitiation complex,0.0
3136,Translation release factor complex,0.0
3137,Translation repressor complex,0.0
3138,Translocon complex,0.0
3139,Transmembrane actin-associated (TAN) line,0.0
3140,Transmembrane collagen trimer,0.0
3141,Transmembrane transporter complex,0.0
3142,Transnitrosylase complex,0.0
3143,Transport vesicle,0.0
3131,Transforming growth factor beta complex,0.0
3087,Tertiary granule membrane,0.0
3088,tetraspanin-enriched microdomain,0.0
3089,Thiazole synthase complex,0.0
3090,Thioglucosidase complex,0.0
3091,thioredoxin-disulfide reductase complex,0.0
3092,THO complex,0.0
3093,THO complex part of transcription export complex,0.0
3094,Thorny excrescence,0.0
3096,Thylakoid,0.0
3097,Thylakoid light-harvesting complex,0.0
3098,Thylakoid lumen,0.0
3113,TORC2 complex,0.0
3100,Tic complex,0.0
3102,TIM22 mitochondrial import inner membrane insertion complex,0.0
3103,TIM23 mitochondrial import inner membrane translocase complex,0.0
3104,TIS granule,0.0
3105,titin-telethonin complex,0.0
3106,Toc complex,0.0
3107,Toll-like receptor 1-Toll-like receptor 2 protein complex,0.0
3108,Toll-like receptor 2-Toll-like receptor 6 protein complex,0.0
3109,TOM complex,0.0
3110,TOR complex,0.0
3111,Tor2-Mei2-Ste11 complex,0.0
3099,Thylakoid membrane,0.0
3174,Type I interferon receptor complex,0.0
3175,Type I pilus,0.0
3176,Type I protein secretion system complex,0.0
3177,Type I site-specific deoxyribonuclease complex,0.0
3178,Type I terminal bouton,0.0
3179,Type Ib terminal bouton,0.0
3180,Type II polyketide synthase complex,0.0
3181,Type II protein secretion system complex,0.0
3182,Type II site-specific deoxyribonuclease complex,0.0
3183,Type II terminal bouton,0.0
3146,Transverse filament,0.0
3186,Type III protein secretion system complex,0.0
3187,Type III site-specific deoxyribonuclease complex,0.0
3188,Type IV pilus,0.0
3189,Type IV secretion system complex,0.0
3190,Type IV site-specific deoxyribonuclease complex,0.0
3191,Type V protein secretion system complex,0.0
3192,Type VI protein secretion system complex,0.0
3193,U1 snRNP,0.0
3194,U11 snRNP,0.0
3195,U11/U12 snRNP,0.0
3196,U12 snRNP,0.0
3185,Type III polyketide synthase complex,0.0
3147,Transverse flagellum,0.0
3148,TRAPP complex,0.0
3149,TRAPPI protein complex,0.0
3150,TRAPPII protein complex,0.0
3151,TRAPPIII protein complex,0.0
3152,TRC complex,0.0
3153,Tricarboxylic acid cycle enzyme complex,0.0
3154,Tricellular tight junction,0.0
3155,Trichocyst,0.0
3156,triglyceride-rich plasma lipoprotein particle,0.0
3157,trimethylamine-N-oxide reductase complex,0.0
3173,Tumor necrosis factor receptor superfamily complex,0.0
3159,Tripartite attachment complex,0.0
3160,tRNA (m1A) methyltransferase complex,0.0
3161,tRNA (m7G46) methyltransferase complex,0.0
3162,tRNA methyltransferase complex,0.0
3163,tRNA-intron endonuclease complex,0.0
